공고번호,날짜,기초가,예가,투찰가
9252746,2025.12.11,12695200,12802875,12600000
9252510,2025.12.10,51950380,52199545,50911000
9252522,2025.12.10,250960,253786,245940
9252580,2025.12.10,14500000,14524676,12782120
9252607,2025.12.10,17399250,17414960,17325000
9252688,2025.12.09,1953000000,1962788632,1945000000
9252445,2025.12.08,261760000,261819976,211606800
9252476,2025.12.05,11220000,11228687,9887064
9252493,2025.12.05,20360000,20587715,20156400
9252496,2025.12.05,11600000,11625892,11600000
9252564,2025.12.05,176081100,176053485,172559000
9252573,2025.12.05,31630500,31579731,29700000
9252626,2025.12.05,6561000000,6563758186,6482267000
9252280,2025.12.04,1780,1781,1460
9252396,2025.12.04,20328270,20234631,16526883
9252388,2025.12.03,5818815,5882242,5800000
9252422,2025.12.03,453587946,453513203,365773320
9252577,2025.12.03,70560000,70729059,70300000
9252337,2025.12.02,21838000,21803135,21728300
9252349,2025.12.02,25244000,25264075,21010000
9252378,2025.12.02,268124200,268370115,265000000
9252507,2025.12.02,28911300,29037941,27500000
9252509,2025.12.02,651600000,652788675,648340000
9252269,2025.11.28,25734500,25771832,22464100
9252248,2025.11.28,40120000,40440885,40110000
9252316,2025.11.27,68400000,68686728,68126410
9252391,2025.11.26,368000000,367541626,366960000
9252368,2025.11.26,4645000000,4690342750,4552100000
9252414,2025.11.26,359014000,360186005,358000000
9252286,2025.11.26,17140000,17156900,17140000
9252288,2025.11.26,11150000,11168302,10955000
9252289,2025.11.26,15962500,16049051,14172000
9252271,2025.11.21,81088000,81391427,81088000
9252067,2025.11.20,56076666,56136295,55330000
9252245,2025.11.20,288288000,290516328,288288000
9251960,2025.11.18,35093350,35359598,28730000
9251987,2025.11.18,47232284,46847805,46530000
9252157,2025.11.18,193000000,194377619,189140000
9251978,2025.11.18,48533700,48683994,48530000
9251879,2025.11.17,76404400,76651073,61730934
9252115,2025.11.17,103716340,104709127,99800000
9252132,2025.11.17,513528000,513420932,511980000
9251839,2025.11.14,540520,537894,435700
9251905,2025.11.13,159167734,161013389,142062027
9251913,2025.11.12,22701330,22764411,22247000
9251894,2025.11.12,67010740,67344137,54225090
9252043,2025.11.12,17600000,17461926,8316000
9252045,2025.11.12,6770000,6760103,6702300
9251829,2025.11.11,540000,541185,438480
9251789,2025.11.11,34000000,34338956,27712300
9251853,2025.11.11,57388800,57194261,46092960
9251830,2025.11.11,262000,260268,212970
9251845,2025.11.11,76646230,76318692,68000000
9251858,2025.11.11,76000000,75583058,60842210
9251909,2025.11.11,17652000,17705292,17650000
9251885,2025.11.10,18243000,18516173,18100000
9251831,2025.11.07,82437500,82547729,82434340
9251833,2025.11.07,97336820,97672139,97336231
9251850,2025.11.07,14301000,14388475,13585000
9251810,2025.11.07,2872,2890,2355
9251874,2025.11.07,938000,935482,932000
9251959,2025.11.07,1895000,1882024,1857000
9251809,2025.11.06,36412352,36534597,29408830
9251942,2025.11.06,1337000000,1335253407,1330190000
9251964,2025.11.06,5322000,5297260,5250000
9251717,2025.11.05,29700000,29774632,26730000
9251755,2025.11.05,98010000,97614290,83490000
9251770,2025.11.05,43120000,43180212,43120000
9251775,2025.11.05,30750000,30721637,26895000
9251827,2025.11.05,16388064,16294390,16000000
9251887,2025.11.04,5822000,5827372,5400000
9251889,2025.11.04,19660000,19865956,19500000
9251610,2025.11.04,710000,714710,584710
9251763,2025.11.04,56400000,56904453,56100000
9251793,2025.11.04,17757250,17921576,17575250
9251836,2025.11.03,3754960,3750988,3740000
9251669,2025.11.01,88209000,87631891,71211610
9251661,2025.10.31,16005,15978,12862
9251679,2025.10.31,47129600,47052069,45397000
9251688,2025.10.31,3453,3469,2805
9251724,2025.10.31,62285040,62498817,50310000
9251729,2025.10.31,19725216,19681796,17336500
9251745,2025.10.31,9045600,9017277,7987000
9251761,2025.10.31,21490650,21540039,18977000
9251685,2025.10.30,34000000,34106659,27631000
9251699,2025.10.30,8740000,8807464,8700000
9251668,2025.10.30,18529160,18560042,17310000
9251683,2025.10.30,47500000,47371497,43850100
9251588,2025.10.29,161998618,163068278,151945340
9251607,2025.10.29,42992230,43090267,34776414
9251626,2025.10.29,54093600,54413392,53000000
9251628,2025.10.29,48310000,47752152,39070713
9251632,2025.10.29,92091000,91894804,80897880
9251637,2025.10.29,76066000,75980654,61226000
9251638,2025.10.29,45030000,44890679,36199600
9251813,2025.10.29,844000000,846284926,844000000
9251596,2025.10.28,40061000,40054650,36850000
9251600,2025.10.28,34745,34789,33000
9251649,2025.10.28,77165500,76528096,67982500
9251583,2025.10.28,117581790,117872242,95211854
9251472,2025.10.28,1234000000,1231397277,1147380000
9251631,2025.10.28,4388,4385,3553
9251595,2025.10.28,47196000,47071670,37895084
9251696,2025.10.27,38100000,38341111,37910000
9251697,2025.10.27,18900000000,19021181851,18899815000
9251514,2025.10.24,26405000,26436343,26088000
9251513,2025.10.24,80200000,79827173,73783900
9251459,2025.10.24,5543000,5571289,4520000
9251482,2025.10.24,376000,379255,338400
