공고번호,날짜,기초가,예가,투찰가
9249971,2025.07.14,83358000,83310326,73103858
9249573,2025.07.15,507263000,504652680,438969000
9249580,2025.07.16,1676630000,1690560816,1364000000
9249656,2025.07.16,278285183,277472899,241350000
9249660,2025.07.16,363397000,364844117,316647000
9249661,2025.07.16,1595600000,1591262989,0
9249677,2025.07.16,463455000,465102991,405360000
9249990,2025.07.16,229095000,231211004,202990000
9250036,2025.07.16,38843000,38785370,34139000
9250004,2025.07.17,611960000,608532330,536495850
9249742,2025.07.18,1707035000,1714869258,1390200000
9249728,2025.07.21,62447000,62169829,53762367
9250137,2025.07.21,153092000,153956712,135208700
9249767,2025.07.22,350383000,351939014,303570000
9249798,2025.07.23,341222600,341062224,296557000
9249814,2025.07.24,777183000,774289693,664453000
9250171,2025.07.24,115632000,115910530,101710840
9249786,2025.07.25,478731000,477694006,412500000
9250201,2025.07.25,164934000,165680357,145398000
9250207,2025.07.30,198803000,200660306,176239200
9250244,2025.07.30,196448000,198590451,174279600
9250301,2025.07.30,45441000,45464027,40008950
9249870,2025.07.31,403369000,405119279,349570000
9249942,2025.07.31,1298000000,1290150305,1036100000
9250332,2025.08.04,126874000,127613326,112020709
9250342,2025.08.04,171688000,171210999,150248000
9250348,2025.08.05,233321000,232558020,204073300
9250368,2025.08.06,88037000,88433960,77600704
9249827,2025.08.07,328730000,327948945,264006560
9250452,2025.08.07,87240000,87400732,76932956
9250466,2025.08.08,39039000,39208732,34504000
9250429,2025.08.11,126661000,126844519,111315290
9250448,2025.08.11,120122000,119897704,105233500
9250471,2025.08.11,46640000,46810928,41194109
9250474,2025.08.11,85602000,85850902,75554922
9250405,2025.08.12,66330000,65751776,57974824
9250476,2025.08.13,48059000,48072573,42310000
9250521,2025.08.13,151858000,151896549,133285313
9250501,2025.08.14,142517000,141302700,124172179
9250642,2025.08.14,1200000000,1211975376,1182000000
9250098,2025.08.18,77421000,76826297,66377722
9250488,2025.08.18,187237000,186181165,164047000
9250489,2025.08.18,54790000,55154599,48396750
9250563,2025.08.18,95535000,95622078,84214000
9250191,2025.08.19,389373000,389995125,340450000
9250589,2025.08.19,200530000,197939828,174575738
9250604,2025.08.19,134533000,134441042,117985310
9250385,2025.08.20,136972000,136839799,120080078
9250587,2025.08.20,119053000,118698717,104202000
9250593,2025.08.20,114763000,115810810,101685000
9250612,2025.08.20,139469000,139569039,122474970
9250632,2025.08.20,133113000,131799563,115988754
9250608,2025.08.21,219677000,220222237,193334000
9250616,2025.08.21,139200000,138938449,121963000
9250630,2025.08.21,54268500,54015483,47402260
9250249,2025.08.25,1595600000,1600810616,1284138880
9250640,2025.08.25,157685000,159012838,139590000
9250681,2025.08.25,239557000,239606884,210271200
9250692,2025.08.25,146696000,147030394,129063000
9250695,2025.08.25,68045000,67903201,59760000
9250565,2025.08.26,168233000,169560065,148995560
9250679,2025.08.26,192632000,192044676,168966467
9250731,2025.08.26,60733000,61271585,53800300
9250344,2025.08.27,354315000,355698364,308704455
9250709,2025.08.27,113971000,114764776,100993800
9250710,2025.08.27,61410000,61653936,54405535
9250733,2025.08.27,137311000,137686944,120921620
9250755,2025.08.29,146904000,144872424,127729891
9250309,2025.09.01,1303489000,1300711563,1041740000
9250351,2025.09.01,1717744600,1724466388,1420938000
9250373,2025.09.01,968055000,971306440,831346000
9250408,2025.09.01,453776000,454373833,394800000
9250786,2025.09.01,49096000,49291152,43304000
9250392,2025.09.02,1567526400,1558938363,1283000000
9250869,2025.09.02,38400000,38486274,34640000
9250757,2025.09.03,45876000,45467107,39995000
9250847,2025.09.03,116608000,116658196,102364300
9250883,2025.09.03,186656000,186352549,163520230
9250873,2025.09.04,108116000,108017454,94792000
9250899,2025.09.04,32579000,32655839,28727000
9250848,2025.09.05,63096000,63307910,55552000
9250543,2025.09.08,493394000,493391226,426483000
9250928,2025.09.09,87158000,87346855,76647000
9250588,2025.09.10,545250000,544106524,472610000
9251004,2025.09.10,54318000,54160156,47677500
9251007,2025.09.10,42141000,42123968,37080000
9250929,2025.09.11,96464500,96584816,84791800
9250968,2025.09.11,61618000,61545395,54177000
9251009,2025.09.11,49696000,49362909,43448000
9250645,2025.09.12,770708000,777022887,671450000
9250963,2025.09.12,112356000,111985947,98853000
9251003,2025.09.12,238019000,237766398,208663300
9251014,2025.09.12,36069000,36140024,31745410
9250992,2025.09.15,103325000,103419012,90798516
9251000,2025.09.15,59462000,59772153,52683530
